eid,title,doi,year,journal,all_countries
2-s2.0-0031103184,On the heat transfer from an expanding cylinder in cross-flow,10.1016/s1359-4311(96)00034-8,1997,Applied Thermal Engineering,Egypt; Kuwait
2-s2.0-0031238603,"On the causes and control of the waterlogging phenomenon, Siwa Oasis, northern Western Desert, Egypt",10.1006/jare.1997.0252,1997,Journal of Arid Environments,Egypt; Kuwait
2-s2.0-0030689941,Low-temperature IR spectroscopy of CO adsorption on calcined supported CeO2: probing adsorbed species and adsorbing sites,10.1177/026361749701500506,1997,Adsorption Science and Technology,Egypt; Kuwait
2-s2.0-0030620429,Sand drift control of selected coastal and desert dunes in Egypt: Case studies,10.1006/jare.1995.0134,1997,Journal of Arid Environments,Egypt; Kuwait
2-s2.0-0012697405,A Novel Route to Polyfunctionally Substituted Methylpyrimidinylcarbonitriles and A Pyridopyrimidine,10.1515/HC.1997.3.2.151,1997,Heterocyclic Communications,Egypt; Kuwait
2-s2.0-0031326994,An estimation algorithm for an independent frequency load modeling in the presence of harmonics,,1997,Arabian Journal for Science and Engineering,Egypt; Kuwait
2-s2.0-0031070558,The justification of the truncation applied to homogeneous integral equations with Cauchy's Kernel,10.1016/S0898-1221(96)00237-4,1997,Computers and Mathematics with Applications,Egypt; Kuwait
2-s2.0-0012838907,"The reactions of 4-substituted-7-aminothieno-[3,4-d]pyridazines and 2-methyl6-aminothienopyridine-5-thione with electron-poor olefins and acetylenes",10.1002/(SICI)1098-1071(1997)8:1<29::AID-HC4>3.0.CO;2-Y,1997,Heteroatom Chemistry,Egypt; Kuwait
2-s2.0-0039498884,"Polyfunctionally substituted heterocycles: Synthesis of new polyfunctionally substituted phthalazines, pyrido[3,4-C]pyridazines and pyrazolo[3,4-C]pyridazines",10.1080/10426509708043501,1997,Phosphorus Sulfur and Silicon and Related Elements,Egypt; Kuwait
2-s2.0-0031258283,Effect of fire on shear behaviour of R.C. beams,10.1016/S0045-7949(95)00356-8,1997,Computers and Structures,Egypt; Kuwait
2-s2.0-0031220890,Comparison between thermal analysis and mass spectroscopic studies of uranyl oxinates,10.1007/bf01980508,1997,Journal of Thermal Analysis,Egypt; Kuwait
2-s2.0-0001014228,"Polymeric complexes of cadmium(II) bridged simultaneously by tetradentate picolinato and μ(1,1)-azido or μ(N,S)-thiocyanato anions. Synthesis and structural characterization of [Cd(picolinato)(N3)]n and [Cd(picolinato)(NCS)]n",10.1016/0277-5387(96)00274-4,1997,Polyhedron,Austria; Egypt; Kuwait
2-s2.0-0031327839,"Studies with polyfunctionally substituted heteroaromatics, a new route to synthesis of thiopyrano[3,2-c]pyridine, thiopyrano[4,3-b]pyridine, and bipyridyl derivatives",10.1080/10426509708033707,1997,Phosphorus Sulfur and Silicon and Related Elements,Egypt; Kuwait; United Kingdom
2-s2.0-0001404086,Structure and Magnetic Behavior of a New 1-D Compound with Simultaneous End-On Azido and Carboxylato Bridges. Unexpected Strong Ferromagnetic Coupling for a Cu-N-Cu Bond Angle of 111.9° as a Consequence of Ligand HOMOs Countercomplementarity,10.1021/ic961107j,1997,Inorganic Chemistry,Egypt; Kuwait; Spain
2-s2.0-33750849561,Methylpyridines and other methylazines as precursors to bicycles and polycycles,10.1016/s0065-2725(08)60362-1,1997,Advances in Heterocyclic Chemistry,Egypt; Kuwait; United Kingdom
2-s2.0-2742550859,Chemistry of crotononitrile,,1998,Advanced Synthesis and Catalysis,Egypt; Kuwait
2-s2.0-3142600995,"Deformation characteristics of Kuwaiti windblown, calcareous deposits using in-situ flat dilatometer",,1998,Kuwait Journal of Science and Engineering,Egypt; Kuwait
2-s2.0-2542483929,"Synthesis of New Substituted 1,3-Diphenyl-5-chloropyrazoles",,1998,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-11644273903,An efficient method for alleviating line overloads and voltage violations by corrective active and reactive rescheduling,,1998,International Journal of Power and Energy Systems,Egypt; Germany; Kuwait
2-s2.0-1942425127,Artificial neural network application to economic operation of all-thermal power plants,,1998,International Journal of Power and Energy Systems,Egypt; Kuwait; United States
2-s2.0-11644328134,Neural network aided design for the metering system of power system state estimation,,1998,International Journal of Power and Energy Systems,Egypt; Kuwait; United States
2-s2.0-0032458034,Suicidality and personality in American and Kuwatti students,10.1177/002076409804400404,1998,International Journal of Social Psychiatry,Egypt; Kuwait; United States
2-s2.0-0000485089,Limitations of ray tracing techniques in optical modeling of silicon solar cells and photodiodes,10.1063/1.368844,1998,Journal of Applied Physics,Egypt; Kuwait
2-s2.0-0031774291,Single- versus multi-item scales in measuring death anxiety,10.1080/074811898201254,1998,Death Studies,Egypt; Kuwait
2-s2.0-0011082209,Environmental effect and strategy of power generation in Asia to the year 2030,,1998,IEEE Power Engineering Review,Egypt; Kuwait
2-s2.0-0000089503,"1D polymeric copper(II) complexes containing bridging tridentate pyrazinato and terminal chloro or azido anions. Synthesis, spectral, structural and thermal study of [CuCl(pyrazinato)(H2O)]n and [Cu(N3)(pyrazinato)(H2O)]n complexes",10.1016/S0277-5387(98)00109-0,1998,Polyhedron,Egypt; Kuwait
2-s2.0-0000231947,Stability of surface chromate - A physicochemical investigation in relevance to environmental reservations about calcined chromia catalysts,10.1016/S0926-860X(98)00088-X,1998,Applied Catalysis A General,Egypt; Kuwait
2-s2.0-0032125207,Maximum depth of cut for ceramics using abrasive waterjet technique,10.1016/S0043-1648(98)00204-X,1998,Wear,Egypt; Kuwait
2-s2.0-0001079248,Refined modeling of optical confinement in thin silicon layers with a Lambertian back reflector for solar cell applications,10.1063/1.368052,1998,Journal of Applied Physics,Egypt; Kuwait
2-s2.0-0032518267,Synthesis and characterization of catalytic titanias via hydrolysis of titanium(IV) isopropoxide,10.1016/S0927-7757(97)00156-8,1998,Colloids and Surfaces A Physicochemical and Engineering Aspects,Egypt; Kuwait; United Kingdom
2-s2.0-22444456043,"Death, anxiety, and depression in Lebanese undergraduates",10.2190/CN5K-XF4C-2NPG-17E0,1998,Omega,Egypt; Kuwait
2-s2.0-0032386182,The development and validation of the arabic obsessive compulsive scale,10.1027/1015-5759.14.2.146,1998,European Journal of Psychological Assessment,Egypt; Kuwait
2-s2.0-0007228885,Chemistry of crotononitrile,10.1002/prac.19983400602,1998,Journal Fur Praktische Chemie Chemiker Zeitung,Egypt; Kuwait
2-s2.0-0031621725,An examination of organization and suborganization readiness for total quality management,10.1504/ijtm.1998.002672,1998,International Journal of Technology Management,Egypt; Kuwait
2-s2.0-0031976185,Synthesis of new polyfunctionally substituted pyrans and their transformation into pyridine derivatives,,1998,Pharmazie,Egypt; Kuwait
2-s2.0-0031635709,Stretch-bending analysis of U-section beams,10.1016/S0890-6955(97)00008-4,1998,International Journal of Machine Tools and Manufacture,Egypt; Kuwait
2-s2.0-0032074434,On the emissions from internal-combustion engines: A review,10.1002/(SICI)1099-114X(199805)22:6<483::AID-ER377>3.0.CO;2-Z,1998,International Journal of Energy Research,Egypt; Kuwait
2-s2.0-0031909270,White rot fungi and their role in remediating oil-contaminated soil,10.1016/S0160-4120(97)00134-7,1998,Environment International,Egypt; Kuwait
2-s2.0-0031933458,Bioremediation of damaged desert environment using the windrow soil pile system in Kuwait,10.1016/S0160-4120(97)00133-5,1998,Environment International,Egypt; Kuwait
2-s2.0-0032327556,"Hydrogeochemical and geomorphological studies of some wadis on the eastern side of the Gulf of Suez, Sinai, Egypt",,1998,Arabian Journal for Science and Engineering,Egypt; Kuwait
2-s2.0-0348202936,"The chemical evolution and hydrogeology of al-shagaya field-b, kuwait",10.1080/02508069808686745,1998,Water International,Egypt; Kuwait
2-s2.0-0031623793,Low Reynolds number axisymmetric turbulent boundary layer on a cylinder,10.1016/s0093-6413(98)00005-6,1998,Mechanics Research Communications,Egypt; Kuwait
2-s2.0-2542423154,"Methylheteroaromatic Carbonitriles as Building Blocks for Synthesis of Condensed Heteroaromatics: Novel Syntheses of [1]Benzo[2,3]pyrano[3,4-c]-pyridines, Naphtho[2′,1′:5,6]pyrano[3,4-c]pyridines, Pyrido[3,4-c]quinolines and Other New Condensed Pyridines",10.1039/a703549g,1998,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-0031701508,Recovery of red iron oxide pigmentary powders from chemically-modified steel-pickling chemical waste,10.1023/A:1006533405891,1998,Journal of Materials Science Letters,Egypt; Kuwait
2-s2.0-0031770007,Studies with polyfunctionally substituted heteroaromatics: Synthesis of new heterocyclic aromatic amines as potential intermediates for preparation of dyes for thermal diffusion printing,10.1139/v98-095,1998,Canadian Journal of Chemistry,Egypt; Kuwait
2-s2.0-0032430468,General regression neural networks for driven piles in cohesionless soils,10.1061/(ASCE)1090-0241(1998)124:12(1177),1998,Journal of Geotechnical and Geoenvironmental Engineering,Egypt; Kuwait
2-s2.0-2542533795,"Studies on Polyfunctionalised Heteroaromatics: A Novel Synthesis of Polyfunctionalised Pyridine, Pyridazine and Pyrido[2,3-c] pyridazine Derivatives",10.1039/a703978f,1998,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-0008158657,Dielectric relaxation of dialkyl fumarates monomers homopolymers and copolymers in dilute solutions,10.1016/s0167-7322(97)89920-5,1998,Journal of Molecular Liquids,Egypt; Kuwait
2-s2.0-0042285369,"Hydrazones in heterocyclic synthesis; synthesis of 1,3,4-thiadiazole derivatives",10.1080/10426509808032460,1998,Phosphorus Sulfur and Silicon and Related Elements,Egypt; Kuwait
2-s2.0-11744352677,New correlations for critical and subcritical two-phase flow through wellhead chokes,10.2118/98-06-04,1998,Journal of Canadian Petroleum Technology,Egypt; Kuwait
2-s2.0-0039157203,The theory of global fuzzy neighborhood structures. (III). Fuzzy uniform structures,10.1016/S0165-0114(97)00347-3,1998,Fuzzy Sets and Systems,Egypt; Germany; Kuwait
2-s2.0-0012301446,The theory of global fuzzy neighborhood structures Part I - The general case,10.1016/S0165-0114(97)00111-5,1998,Fuzzy Sets and Systems,Egypt; Germany; Kuwait
2-s2.0-0039749564,The theory of global fuzzy neighborhood structures. (II). Fuzzy topogenous orders,10.1016/S0165-0114(97)00346-1,1998,Fuzzy Sets and Systems,Egypt; Germany; Kuwait
2-s2.0-0001759841,Chromia on silica and alumina catalysts: CO oxidation activity,10.1524/zpch.1998.203.part_1_2.131,1998,Zeitschrift Fur Physikalische Chemie,Egypt; Kuwait
2-s2.0-0032145251,A novel synthesis of high-area alumina via H2O2-precipitated boehmite from sodium aluminate solutions,10.1002/(sici)1097-4660(199808)72:4<320::aid-jctb911>3.0.co;2-%23,1998,Journal of Chemical Technology and Biotechnology,Egypt; Kuwait; Saudi Arabia
2-s2.0-0346312882,Year 2000 problems and solutions: A Kuwait University experience,,1999,Kuwait Journal of Science and Engineering,Egypt; Kuwait
2-s2.0-0033310645,Analytical study of carrier photogeneration and photocurrent in thin silicon solar cells with specular and diffuse back reflection,10.1109/16.791999,1999,IEEE Transactions on Electron Devices,Egypt; Kuwait
2-s2.0-0033357842,Adaptive control of constrained robots: A case study,,1999,Control and Intelligent Systems,Egypt; Kuwait; Singapore; United States
2-s2.0-0033284873,Managing multi-task systems using workflow,,1999,International Journal of Computers and Applications,Egypt; Kuwait
2-s2.0-0002123257,Understand thermal desalination,,1999,Chemical Engineering Progress,Egypt; Kuwait; United States
2-s2.0-0000901754,"Azido-amine-cobalt(III) complexes: Crystal structures of cis-[Co(tren)(N3)2]ClO4 and trans-[Co(3,2,3-tet)(N3)2]ClO4",10.1016/S0277-5387(99)00106-0,1999,Polyhedron,Egypt; Kuwait
2-s2.0-0032885296,Evaluation of efficacy and toxicity of treatment using rhenium-186 HEDP in metastatic bone disease,10.1159/000026092,1999,Medical Principles and Practice,Egypt; Kuwait
2-s2.0-0032629682,Glass-transition temperature of polydialkyl fumarate copolymers,10.1002/(SICI)1099-0518(19990615)37:12<1839::AID-POLA13>3.0.CO;2-E,1999,Journal of Polymer Science Part A Polymer Chemistry,Egypt; Kuwait
2-s2.0-0000840518,"Synthesis and characterization of binuclear and polymeric five-coordinate copper(II) complexes derived from 3,3′,3″-triaminotripropylamine (trpn): Crystal structure of [Cu(trpn)(N3)]ClO4 (I) and [Cu2(trpn)(tren)(NO2)(H2O)](ClO 4)3 (II)",10.1016/S0277-5387(99)00080-7,1999,Polyhedron,Egypt; Kuwait
2-s2.0-0033046655,Pineal gland of the Kuwaiti Desert gerbil (Gerbillus cheesmani): Alterations of its structure by bromocriptine treatment,,1999,Endocrine Regulations,Egypt; Kuwait
2-s2.0-0032635039,Fuzzy linear regression for measurement of harmonic components in a power system,10.1016/S0378-7796(98)00101-1,1999,Electric Power Systems Research,Egypt; Kuwait
2-s2.0-0003070965,Thermal and spectroscopic studies of chromium chromate hexahydrate - a likely composition for redox surfaces of calcined chromia catalysts,10.1016/S0040-6031(98)00658-3,1999,Thermochimica Acta,Egypt; Kuwait; Saudi Arabia
2-s2.0-0032750005,"Synthesis of new azoloazine derivatives: New routes to 1,2,4- triazolo[4,3-a]pyrimidines, pyrazolo[1,5a]pyridines and pyrazolo[3,4- b]pyridinones",10.1039/a905642d,1999,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-0032706742,"Benzotriazol-1-yl-acetone as a building block in heterocyclic chemistry: A route to benzotriazolylpyridazines, benzotriazolylphthalazines and benzotriazolylpyrazolo[5,1-c]-1,2,4-triazines",10.1039/a905641f,1999,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-0032727764,Integrated wastewater treatment plant performance evaluation using artificial neural networks,10.1016/S0273-1223(99)00584-3,1999,Water Science and Technology,Egypt; Kuwait
2-s2.0-0000040010,Equilibrium studies of organotin(IV) complexes of peptides,10.1515/MGMC.1999.22.4.253,1999,Main Group Metal Chemistry,Egypt; Kuwait
2-s2.0-84949778188,Two-dimensional calculation of the photogenerated current in V-grooved front surface thin silicon solar cells,10.1109/ICM.2000.884840,1999,Proceedings of the International Conference on Microelectronics Icm,Egypt; Kuwait
2-s2.0-0347181275,High frequency oscillating viscous flow over elliptic cylinder at incidence,10.1007/BF01179016,1999,Acta Mechanica,Egypt; Kuwait
2-s2.0-0032600696,Long-term administration of vitamin A and the process of spermatogenesis,10.26719/1999.5.1.123,1999,Eastern Mediterranean Health Journal,Egypt; Kuwait
2-s2.0-0032966948,Flow properties of weathered crude oils and their emulsions,10.1080/01932699908943824,1999,Journal of Dispersion Science and Technology,Egypt; Kuwait
2-s2.0-0033038524,"Utility of [(p-sulfonamidophenyl)azo]malononitrile in the synthesis of polyfunctionally substituted pyrimidine, pyrazole, isoxazole and pyridazine derivatives",,1999,Journal of Chemical Research Part S,Egypt; Kuwait
2-s2.0-0032650510,Electrochemical behaviour of naturally passivated hafnium in aqueous solutions of different pH,10.1023/A:1004539421982,1999,Journal of Materials Science,Egypt; Kuwait
2-s2.0-0032687045,Study of the polymerization of solid vinyl monomers using differential scanning calorimetry,10.1016/S0142-9418(98)00034-8,1999,Polymer Testing,Egypt; Kuwait
2-s2.0-0033081511,Impact of shelling on RC frames with and without infill walls,10.1061/(ASCE)0887-3828(1999)13:1(22),1999,Journal of Performance of Constructed Facilities,Egypt; Kuwait
2-s2.0-0032763237,Optimal hydrate inhibition policies with the aid of neural networks,10.1021/ef980129i,1999,Energy and Fuels,Egypt; Kuwait
2-s2.0-84949808570,A detailed analysis of photogenerated current enhancement in thin silicon solar cells with a diffuse back reflector,10.1109/ICM.2000.884839,1999,Proceedings of the International Conference on Microelectronics Icm,Egypt; Kuwait
2-s2.0-0039726748,Sensitivity analysis of the largest dependent eigenvalue functions of eigensystems,10.1016/S0096-3003(98)00031-9,1999,Applied Mathematics and Computation,Egypt; Kuwait
2-s2.0-0033327067,Cellular automata and self-organizing neural networks for invariant target recognition,10.1080/02286203.1999.11760231,1999,International Journal of Modelling and Simulation,Egypt; Germany; Kuwait
2-s2.0-0002210058,"Synthesis, crystal structure, spectroscopic and thermal investigation of trans-diazido-tetrakis(pyrazole)manganese(II) and trans-diaquadiazidobis(3,4-dimethylpyridine)manganese(II)",10.1023/A:1006971809550,1999,Transition Metal Chemistry,Egypt; Kuwait
2-s2.0-0000831565,"Synthesis, structural characterization, magnetic behavior, and single crystal EPR spectra of three new one-dimensional manganese azido systems with FM, alternating FM-AF, and AF coupling",10.1021/ic990656x,1999,Inorganic Chemistry,Egypt; Kuwait
2-s2.0-0032640089,Auxiliary energy analysis in dual power plants,,1999,International Journal of Power and Energy Systems,Egypt; India; Kuwait; United States
2-s2.0-0027057709,Facial layers of the scalp. A study of 48 cadaveric dissections,10.1007/BF01794760,1992,Surgical and Radiologic Anatomy,Egypt; Lebanon
2-s2.0-21344482726,Static spherically symmetric stiff matter in general relativity,10.1088/0264-9381/11/4/003,1994,Classical and Quantum Gravity,Egypt; Lebanon
2-s2.0-0028949812,Anterior tibial artery: variation in origin and branching,10.1007/BF01629507,1995,Surgical and Radiologic Anatomy,Egypt; Lebanon
2-s2.0-0345876202,Oral health in Lebanon: A pilot pathfinder survey,,1996,Eastern Mediterranean Health Journal,Egypt; Lebanon; Switzerland
2-s2.0-0031117958,Multicode: A truly multilingual approach to text encoding,10.1109/2.585152,1997,Computer,Egypt; Lebanon; United States
2-s2.0-0031746583,Blood supply of the tensor fasciae latae muscle,10.1002/(SICI)1098-2353(1998)11:4<236::AID-CA2>3.0.CO;2-P,1998,Clinical Anatomy,Egypt; Lebanon
2-s2.0-0031768430,Mental health services and research in the Arab world,10.1111/j.1600-0447.1998.tb10106.x,1998,Acta Psychiatrica Scandinavica,Egypt; Lebanon
2-s2.0-1542470340,Effect of Pre-heating Iron Ore on Sinter Quality,,1996,Journal of the Institution of Engineers India Part mm Metallurgy and Material Science Division,Egypt; Libya
2-s2.0-0030806774,Chiari malformation type I: A new MRI classification,10.1016/S0730-725X(96)00383-9,1997,Magnetic Resonance Imaging,Egypt; Libya
2-s2.0-0345811144,Current status of breast-feeding in Alexandria governorate: A community-based study,10.26719/1997.3.3.511,1997,Eastern Mediterranean Health Journal,Egypt; Libya
2-s2.0-0031006932,"A novel synthesis of imidazo[2,1-d][1,2,4]triazine and imidazo[2,1- dl]1,2,5]triazepine derivatives via ketene-N,N-acetal",10.1080/00397919708004107,1997,Synthetic Communications,Egypt; Libya
2-s2.0-0031275196,Voltage control by tap-changing transformers for a radial distribution network,10.1049/ip-gtd:19971430,1997,IEE Proceedings Generation Transmission and Distribution,Egypt; Libya
2-s2.0-0032429210,Prediction of the effect of injection parameters on NOx emission and burning quality in the direct injection diesel engine using a modified multizone model,10.1243/0954407981526082,1998,Proceedings of the Institution of Mechanical Engineers Part D Journal of Automobile Engineering,Egypt; Libya
2-s2.0-0032478017,Dissolution of silica and formation of a dispersed phase induced at low pH by the association of soluble aluminum ionic species with solid silica gel,10.1021/la970750v,1998,Langmuir,Belgium; Egypt; Morocco
2-s2.0-0032032609,The study of human behavior and schistosomiasis transmission in an irrigated area in Morocco,10.1016/S0277-9536(97)00171-8,1998,Social Science and Medicine,Egypt; Morocco
2-s2.0-0033186004,"Helminthic infections associated with the use of raw wastewater for agricultural purposes in Beni Mellal, Morocco",10.26719/1999.5.5.912,1999,Eastern Mediterranean Health Journal,Egypt; Morocco
2-s2.0-34249956263,Magnetic ordering in Mg-Zn ferrites,10.1007/BF02396123,1990,Hyperfine Interactions,Egypt; Oman
2-s2.0-0025571572,Heat transfer studies in soil below cold stores,10.1002/er.4440140602,1990,International Journal of Energy Research,Egypt; Oman
2-s2.0-0025403953,Thermal conductivity and diffusivity of soil,10.1016/0735-1933(90)90053-M,1990,International Communications in Heat and Mass Transfer,Egypt; Oman
2-s2.0-0026358271,Tar loads on Omani beaches,10.1007/BF01701142,1991,Bulletin of Environmental Contamination and Toxicology,Egypt; Oman
2-s2.0-84954743563,"The performance of a collector-storage wall in Alexandria, Egypt",10.1080/01425919108941465,1991,International Journal of Solar Energy,Egypt; Oman
2-s2.0-84880578034,Design Of Stationary Finite Length V-Trough Solar Collector,10.1080/01425919108941452,1991,International Journal of Solar Energy,Egypt; Oman
2-s2.0-0026407137,"Closed-Form Solutions for Voltage Pulse Response of Open, Shorted, and Loaded Distributed RC Thin Film Structure",10.1109/31.108513,1991,IEEE Transactions on Circuits and Systems,Egypt; Oman
2-s2.0-0026615230,Sources of pollution at Mina al Fahal Coastal area,10.1007/BF00203152,1992,Bulletin of Environmental Contamination and Toxicology,Egypt; Oman
2-s2.0-0346978517,Mössbauer studies on Al-Co ferrites,10.1007/BF02396501,1992,Hyperfine Interactions,Egypt; Oman
2-s2.0-85072456101,Spray visualization in a partially insulated combustion chamber and performance of a low heat rejection diesel engine,10.4271/920839,1992,SAE Technical Papers,Egypt; Oman; United States
2-s2.0-84954851273,"Simultaneous analysis of a ternary mixture of pharmaceuticals containing trimethoprim, sulphamethoxazole, and phenazopyridine hydrochloride using third-derivative and zero-order photodiode array spectrophotometry",10.1080/00387019308010773,1993,Spectroscopy Letters,Egypt; Oman
2-s2.0-0027338354,"Petroleum-derived hydrocarbons in water, sediment and biota from the Mina al Fahal coastal waters",10.1016/0025-326X(93)90534-Q,1993,Marine Pollution Bulletin,Egypt; Oman
2-s2.0-0028556103,Irrigation water cost in Egypt,10.1080/02508069408686218,1994,Water International,Egypt; Oman
2-s2.0-0029597879,Nocturnal growth hormone (GH) secretion and GH response to clonidine provocation in children before and after long-term prednisone therapy,10.1093/tropej/41.6.344,1995,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0029316335,The effect of Ge4+ substitution in lithium ferrites,10.1002/pssa.2211490219,1995,Physica Status Solidi A,Egypt; Oman
2-s2.0-0029143604,Testosterone treatment in adolescent boys with constitutional delay of growth and development,10.1016/0026-0495(95)90098-5,1995,Metabolism,Egypt; Oman
2-s2.0-6244295207,An artificial neural network-based medium-term electrical load and energy forecast for a rapidly growing utility,,1996,Intelligent Engineering Systems Through Artificial Neural Networks,Australia; Egypt; Oman
2-s2.0-0030204368,Tuning a static var compensator controller over a wide range of load models using an artificial neural network,10.1016/S0378-7796(96)01067-X,1996,Electric Power Systems Research,Egypt; Oman
2-s2.0-0030061506,High prevalence of islet cell antibody and defective insulin release in children with schistosomiasis,10.1093/tropej/42.1.46,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0030042664,"Radiological, biochemical, and hormonal changes in malnourished children with rachitic manifestations",10.1093/tropej/42.1.34,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0029908886,Insulin and glucagon responses to provocation with glucose and arginine in prepubertal children with thalassemia major before and after long-term blood transfusion,10.1093/tropej/42.5.291,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0029883302,Effect of passive smoking on frequency of respiratory illnesses and serum immunoglobulin-E (IgE) and interleukin-4 (IL-4) concentrations in exposed children,10.1093/tropej/42.3.166,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0029884078,Maternal and neonatal prevalence of toxoplasma and cytomegalovirus (CMV) antibodies and hepatitis-B antigens in an Egyptian rural area,10.1093/tropej/42.3.154,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0029730102,Vegetation along a transect in the Hijaz mountains (Saudi Arabia),10.1006/jare.1996.0024,1996,Journal of Arid Environments,Egypt; Oman
2-s2.0-10244234101,Growth parameters and predictors of growth in short children with and without growth hormone (GH) deficiency treated with human GH: A randomized controlled study,10.1093/tropej/42.5.281,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0030481409,"Interleukin-1-beta, tumour necrosis factor-alpha, islet-cell antibody, and insulin secretion in children with thalassemia major on long-term blood transfusion",10.1093/tropej/42.6.362,1996,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0031272267,International research and development trends and problems of HVDC cables with polymeric insulation,10.1109/57.637152,1997,IEEE Electrical Insulation Magazine,Denmark; Egypt; Oman; United States
2-s2.0-0030858653,Intraventricular haemorrhage in premature infants: A study from Oman,10.1093/tropej/43.3.174,1997,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0347702350,Rheumatic heart disease among Omani schoolchildren,10.26719/1997.3.1.17,1997,Eastern Mediterranean Health Journal,Egypt; Oman
2-s2.0-0031042824,Comparison of the changes in the a/A oxygen ratio after administration of two surfactants for the treatment of neonatal respiratory distress syndrome,10.1093/tropej/43.1.38,1997,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0030924324,Congenital adrenal hyperplasia complicated by central precocious puberty: Linear growth during infancy and treatment with gonadotropin- releasing hormone analog,10.1016/S0026-0495(97)90186-4,1997,Metabolism Clinical and Experimental,Egypt; Oman
2-s2.0-2442639320,"Rhenium-Picric acid complex and some CNDO -calculations on TNB, TNT and Picric acid",10.1080/00387019708006673,1997,Spectroscopy Letters,Egypt; Oman
2-s2.0-84933480500,The effect of the teacher's reading aloud on the reading comprehension of EFL students,10.1093/elt/51.1.43,1997,Elt Journal,Egypt; Oman
2-s2.0-0031185508,The relationship between goal programming and fuzzy programming,10.1016/S0165-0114(96)00100-5,1997,Fuzzy Sets and Systems,Egypt; Oman
2-s2.0-0031044078,Growth parameters and endocrine function in relation to echocardiographic parameters in children and adolescents with compensated rheumatic heart disease,10.1093/tropej/43.1.4,1997,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0031719423,Defective growth hormone (GH) secretion and short-term treatment in Noonan syndrome,10.1007/BF02731057,1998,Indian Journal of Pediatrics,Egypt; Oman
2-s2.0-0032214979,Unsteady MHD flow near a rotating porous disk with uniform suction or injection,10.1016/S0169-5983(98)80011-7,1998,Fluid Dynamics Research,Egypt; Oman
2-s2.0-0032056621,"Interleukin-1-β, Tumor Necrosis Factor-α, Insulin Secretion and Oral Glucose Tolerance in Non-Diabetic Siblings of Children with IDDM",10.1007/BF02761143,1998,Indian Journal of Pediatrics,Egypt; Oman
2-s2.0-0031826766,"Decreased bone mineral density in prepubertal children with sickle cell disease: Correlation with growth parameters, degree of siderosis and secretion of growth factors",10.1093/tropej/44.4.194,1998,Journal of Tropical Pediatrics,Egypt; Oman
2-s2.0-0033476132,"Mycoflora and changes of safflower, wheat and faba bean seed quality during the storage",,1999,Rostlinna Vyroba,Egypt; Oman
2-s2.0-0347503175,Temperature dependence of the optical band gap of nearly perfect K2ZnCl4 single crystals in the ferroelectric phase,10.1016/S0921-4526(99)00222-7,1999,Physica B Condensed Matter,Egypt; Oman
2-s2.0-0033123136,"Permanent neonatal diabetes mellitus : Epidemiology, mode of presentation, pathogenesis and growth",10.1007/BF02845526,1999,Indian Journal of Pediatrics,Egypt; Oman
2-s2.0-0032600695,Blood pressure patterns among the Omani population,10.26719/1999.5.1.46,1999,Eastern Mediterranean Health Journal,Egypt; Oman
2-s2.0-84888643934,Utilization of cottonseed protein in preparing new edible food products,10.1016/B978-0-444-88834-1.50009-0,1992,Developments in Food Science,Egypt; Palestine
2-s2.0-85076742686,Two methods (numerical and analytical) of the analysis of complex moving waveguides,10.1117/12.324576,1998,Proceedings of SPIE the International Society for Optical Engineering,Egypt; Palestine
2-s2.0-0033164726,Metal-clad multilayer waveguide: circle-chain convergent method and two perturbation methods,10.1023/A:1021739314903,1999,International Journal of Infrared and Millimeter Waves,Egypt; Germany; Palestine
2-s2.0-0033116887,Exact and analytical methods for finding complex roots of moving waveguides with absorbing layers,10.1023/A:1022613210948,1999,International Journal of Infrared and Millimeter Waves,Egypt; Germany; Palestine
2-s2.0-0033164567,Perturbation method for complex root finding of nonlinear electromagnetic waves,10.1023/A:1021783029924,1999,International Journal of Infrared and Millimeter Waves,Egypt; Germany; Palestine
2-s2.0-0025481994,Analysis of frames containing cracks and resting on elastic foundations,10.1007/BF00037168,1990,International Journal of Fracture,Egypt; Qatar
2-s2.0-0025059127,Constituents of plants growing in Qatar - Part XIX. Flavonoids of Glossonema edule N. E. Br.,10.1007/BF02193774,1990,Plant Foods for Human Nutrition,Egypt; Qatar
